---config@码表分类=主码-1
---config@码表别名= 符号编码
$ddcmd(/wx,😊)	oi
$ddcmd(？,？)	ow
$ddcmd(%,%)	ob
$ddcmd(！,！)	oa
$ddcmd(……,……)	os
$ddcmd(（,（)	oh
$ddcmd(）,）)	oj
$ddcmd(〔,〔)	on
$ddcmd(〕,〕)	om
$ddcmd(一,一)	ob
$ddcmd(丨,丨)	ob
$ddcmd(丿,丿)	ob
$ddcmd(丶,丶)	ob
$ddcmd(乛,乛)	ob
$ddcmd(乀,乀)	ob
$ddcmd(鱼,鱼)	oba
$ddcmd(冖,冖)	obb
$ddcmd(宀,宀)	obb
$ddcmd(丷,丷)	obb
$ddcmd(疒,疒)	obb
$ddcmd(勹,勹)	obb
$ddcmd(比左部,比左部)	obb
$ddcmd(艹,艹)	obc
$ddcmd(廾,廾)	obc
$ddcmd(冫,冫)	obd
$ddcmd(氵,氵)	obd
$ddcmd(,)	obd
$ddcmd(刂,刂)	obd
$ddcmd(阝,阝)	obe
$ddcmd(卩,卩)	obe
$ddcmd(彐,彐)	obe
$ddcmd(山,山)	obe
$ddcmd(见下部,见下部)	obe
$ddcmd(扌,扌)	obf
$ddcmd(寿带上部,寿带上部)	obf
$ddcmd(,)	obf
$ddcmd(缶,缶)	obf
$ddcmd(既左部,既左部)	obg
$ddcmd(艮,艮)	obg
$ddcmd(鬼,鬼)	obg
$ddcmd(革,革)	obg
$ddcmd(骨,骨)	obg
$ddcmd(灬,灬)	obh
$ddcmd(虍,虍)	obh
$ddcmd(黑,黑)	obh
$ddcmd(余下部,余下部)	obh
$ddcmd(彳,彳)	obi
$ddcmd(亍,亍)	obi
$ddcmd(虫,虫)	obi
$ddcmd(钅,钅)	obj
$ddcmd(金,金)	obj
$ddcmd(,)	obj
$ddcmd(匚,匚)	obk
$ddcmd(冂,冂)	obk
$ddcmd(凵,凵)	obk
$ddcmd(囗,囗)	obk
$ddcmd(㠯,㠯)	obk
$ddcmd(耂,耂)	obl
$ddcmd(立,立)	obl
$ddcmd(龙,龙)	obl
$ddcmd(朩,朩)	obm
$ddcmd(,)	obn
$ddcmd(牜,牜)	obn
$ddcmd(日,日)	obo
$ddcmd(月,月)	obo
$ddcmd(目,目)	obo
$ddcmd(礻,礻)	obp
$ddcmd(衤,衤)	obp
$ddcmd(犭,犭)	obq
$ddcmd(求,求)	obq
$ddcmd(具其上部,具其上部)	obq
$ddcmd(亻,亻)	obr
$ddcmd(纟,纟)	obs
$ddcmd(厶,厶)	obs
$ddcmd(,)	obs
$ddcmd(罒,罒)	obs
$ddcmd(田,田)	obt
$ddcmd(饣,饣)	obu
$ddcmd(,)	obu
$ddcmd(,)	obu
$ddcmd(氺,氺)	obu
$ddcmd(石,石)	obu
$ddcmd(,)	obv
$ddcmd(豸,豸)	obv
$ddcmd(亠,亠)	obw
$ddcmd(夂,夂)	obw
$ddcmd(攵,攵)	obw
$ddcmd(文,文)	obw
$ddcmd(忄,忄)	obx
$ddcmd(乂,乂)	obx
$ddcmd(⺍,⺍)	obx
$ddcmd(,)	obx
$ddcmd(,)	obx
$ddcmd(讠,讠)	oby
$ddcmd(,)	oby
$ddcmd(,)	oby
$ddcmd(衣底,衣底)	oby
$ddcmd(羊,羊)	oby
$ddcmd(,)	obz
$ddcmd(廴,廴)	obz
$ddcmd(辶,辶)	obz
$ddcmd(“”keyboard(<37>),“”)	ofbd
$ddcmd(（）keyboard(<37>),（）)	ofbd
$ddcmd(《》keyboard(<37>),《》)	ofbd
$ddcmd(〈〉keyboard(<37>),〈〉)	ofbd
$ddcmd(〔〕keyboard(<37>),〔〕)	ofbd
$ddcmd(‘’keyboard(<37>),‘’)	ofbd
$ddcmd(「」keyboard(<37>),「」)	ofbd
$ddcmd(『』keyboard(<37>),『』)	ofbd
$ddcmd(【】keyboard(<37>),【】)	ofbd
$ddcmd(〖〗keyboard(<37>),〖〗)	ofbd
$ddcmd(［］keyboard(<37>),［］)	ofbd
