---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
哀	aiwy
唉	aiku
啊	aakk
埯	antd
岙	aoye
嶅	aofe
挨	aifu
捱	aift
案	anbm
铵	anjn
𩽾	anan
𬮿	aiej
佰	bdrb
俾	biru
傍	bhrf
冰	bkdu
半	bjdl
博	bouc
卜	buld
吧	bakb
呗	bwkr
咇	bikb
哺	bukf
坂	bjty
埗	butp
埠	butu
婊	bnny
孛	bwuz
布	buuj
幖	bnjx
庇	bigb
忭	bmxb
悖	bwxz
愎	bixw
扁	bmhc
把	bafb
报	bcfy
拔	bafd
捕	buff
搬	bjfy
攽	bjbw
暴	bcou
板	bjmy
柄	bkmb
标	bnmx
栟	bfmk
棒	bhml
棓	bwmk
槟	bkmb
欂	bomc
比	bibb
毙	bibb
沘	bidb
浡	bodz
滨	bbdb
瀑	bcdu
煸	bmhc
爆	bchu
爸	babb
犇	bfnn
班	bjww
琲	bwwf
璧	biuy
瓣	bjlu
瓿	bulw
畚	bfst
皕	bibb
砭	bmuf
碑	bwuu
碧	biwu
祕	bipb
秕	bihb
稗	bdhu
笨	bfvb
笾	bmvz
箅	bivl
箔	bovb
粑	bamb
编	bmsc
耙	balb
般	bjvy
舭	bivb
芘	bicb
苾	bicb
萆	bicu
蔀	buce
薜	bicu
蚄	bhif
蚌	bhif
补	bupb
褊	bmpc
褙	bwpo
襞	biuy
诐	biyy
豳	bbuu
豹	bcvu
趵	bczu
跸	bizu
辩	bmlu
辫	bmlu
遍	bmzc
避	bizu
邶	bwle
部	bule
钚	bujb
铂	bojb
铋	bijb
镖	bnjx
闭	bimc
阪	bjey
鞁	bwgy
鞭	bmgg
饼	bkuk
馝	bihb
骉	bnmm
鲌	baab
鸨	bcbn
龅	bcvs
𠳐	bhke
𨚕	bmse
𨭉	bjwj
𬭛	bojy
𬷕	bufn
幷	bkpl
仌	bkrr
闁	bcmm
汃	bbdb
䅟	cjhp
仓	chrv
材	cdmc
残	cjdj
毳	cvmm
汆	crru
熜	cshx
琮	cswx
祠	cipk
粢	cidm
翠	cvxu
苍	chcv
萃	cvcu
蔟	cucu
词	ciyk
蹙	cuar
辞	ciqu
锉	cojt
艸	ccel
䗖	diij
代	ddry
佚	dpru
俤	dirp
党	dhxe
凋	dndk
刁	dnva
单	djbl
吨	dykt
咚	dskd
哒	dakz
啖	djkh
垌	dstk
垯	datz
多	doxx
妒	dunh
屌	dnuj
帝	diwj
带	ddfj
底	digd
度	dugy
弹	djgl
怼	dvyx
惦	dmxk
惮	djxl
惮	daxl
打	dafd
抖	dzfu
掉	dnfu
敦	dyww
断	drmj
朵	dojm
杕	dimd
栋	dsmd
档	dhme
楯	dymo
殆	dddk
殿	dmuy
氐	diud
氘	dcql
汈	dndd
浟	didw
涤	didm
淡	djdh
澹	djdk
炟	dahd
煅	drhy
牒	dppm
独	duqi
玓	diwu
疸	djbd
瘩	dabk
的	debu
的	dibu
盗	dcdm
磹	dmuu
禘	dipj
端	drle
等	dgvc
筜	dhve
箪	djvl
簟	dmvu
缔	disj
羝	diyd
胆	djod
蛋	djvi
蠹	duai
褡	dapk
订	dkyd
诞	djyz
读	duyd
谛	diyj
谠	dhye
蹾	dyzw
达	dazd
迭	dpzu
都	dule
都	dzle
钝	dyjt
阇	dumo
队	dver
靼	dagd
鞑	dagz
顶	dkdr
饳	doui
驮	domd
鱽	dcad
黩	duhd
𨱏	dajk
𫢸	djrl
𫶇	dpej
𬊤	djhl
𬍡	dhdy
𬘘	djsv
𬟽	dsid
𬤊	diyr
𬭊	dujt
𬭚	dojz
𬭚	dvjz
𬯎	dver
𬱖	diyr
𬘘	djs
氹	dhvu
哋	diky
啲	dikb
厄	eeiv
咡	erke
嗯	enkx
噩	eeaa
姶	eenk
崿	eeek
愕	eexk
耳	eraa
贰	eryr
𥔲	eeuk
𫫇	eekx
㕮	fukx
䓛	fuci
付	furc
仿	fhrf
俯	furc
偾	ffrr
冯	fgdm
副	fuad
匪	fwkf
吩	ffkd
唪	fgkl
垺	futz
复	fupw
夫	fuan
妃	fwnj
妨	fhnf
富	fubt
弗	fuvl
彷	fhif
扶	fuff
放	fhfw
敷	fufw
枋	fhmf
梵	fjmf
棻	ffcm
榧	fwmf
樊	fjmd
氾	fjdv
汾	ffdd
法	fads
浲	fgdf
烦	fjhr
玢	ffwd
痱	fwbf
矾	fjuf
砆	fuuf
粉	ffmd
纷	ffsd
翻	fjpx
肪	fhof
脯	fuof
舫	fhvf
茀	fucf
蚄	fhif
蜂	fgif
蜉	fuiz
讣	fuyb
访	fhyf
诽	fwyf
贩	fjky
赋	fukv
跗	fuzc
辅	fuif
钒	fjjf
阀	famg
非	fwla
驸	fumc
𣸣	ffdr
𫓧	fujf
𫔍	fjjt
𬴂	fwmf
𬸪	fjpn
瞓	ffol
瞓	ffoi
㽏	gjdg
䓛	guci
䢼	gsce
个	gerl
剐	gxkd
匮	gvkr
句	gzbk
唝	gskr
嘏	guuy
固	gukk
姑	gunk
姽	gvnv
官	grbk
工	gsel
庋	gvgy
庚	gggn
廆	gvgg
归	gvle
搞	gcfk
敢	gjvw
杆	gjmg
枸	gzmk
栝	gxmk
格	gemk
桂	gvmt
棺	grmk
榖	guuy
槁	gcmk
歌	gedr
汞	gsgu
沽	gudk
淦	gjdj
牿	gunk
珖	glww
疳	gjbg
癸	gvvt
盖	gdym
磙	gyuy
筦	grve
筻	ghvg
管	grvk
篙	gcvk
缸	ghfg
罐	grff
羔	gcyh
肝	gjog
股	guoy
莞	grce
蛄	guik
蜾	goig
觚	gudg
诂	guyk
诡	gvyv
谷	gubk
贡	gsgr
贾	guxr
赶	gjtg
跪	gvzv
躬	gsug
过	gozc
钢	ghjx
钴	gujk
锅	gojn
镐	gcjk
阁	gemk
雊	gzbf
饹	geuk
馃	goug
馉	guuo
馘	goba
鳤	grak
鼓	guuy
龚	gslb
龟	gvdv
鿍	ghtl
𬇹	gody
𬒔	gguo
𬕂	gjvr
𬕂	gsvr
𬮿	gdej
卝	grla
臦	grii
丱	grvv
廾	gspl
官	ghtk
𬒔	ggu
嘅	gekv
嗰	gokk
吤	gekl
攰	gvul
㿠	hlbw
会	hvrs
候	hzru
冱	hudh
凰	hljw
划	hxgd
华	hxru
合	herk
和	hehk
和	hohk
和	huhk
咍	hdkk
哕	hvkx
嗥	hcku
嗬	hekk
嚆	hckk
夥	hogx
奂	hrdd
害	hdbk
崡	hjek
徊	hkik
怙	huxk
恍	hlxw
悔	hvxm
惑	hogx
户	hudu
扞	hjfg
护	hufh
捍	hjfg
斛	hudu
旰	hjog
旱	hjog
杭	hhmj
核	hemr
桦	hxmu
欢	hryr
汇	hvdk
沪	hudh
河	hedk
泓	hsds
浍	hvds
浛	hjdk
涣	hrdd
涸	hedk
湟	hldw
滑	hxdg
漷	hode
濠	hcdu
濩	hudy
灰	hvuh
烀	huhh
烠	hvho
烩	hvhs
熇	hehk
珲	hvwi
珲	hywi
瑝	hlww
瘊	hzbu
皇	hlbw
皞	hcbu
秽	hvhx
竑	hsls
縠	huuy
缓	hrsy
翃	hsux
翙	hvex
翚	hvxi
翯	hexk
耗	hclm
胡	huuo
航	hhvj
艎	hlvw
荷	heck
蕻	hscb
虎	huhj
蚶	hjig
蝗	hliw
行	hhii
觳	huuy
诃	heyk
豁	hobk
豢	hrju
豪	hcwu
辉	hvxi
逅	hzzk
邯	hjge
铧	hxju
锪	hojx
锽	hljw
镮	hrjy
隍	hlew
鞨	hegv
骅	hxmu
骸	hdgr
黉	hsxb
𨱑	hljb
𬌗	heyk
𬘫	hrse
𬣳	hfyg
𬤝	hvyx
𬭎	hsjs
𬭤	hzju
𬭶	hwjh
𬴃	homu
𬌗	hey
𬣳	hfy
𬭎	hsj
𬭤	hzj
𬴃	hom
冚	hem
嚡	hdkt
䏝	irov
䏝	iyov
侈	iirx
充	iswe
初	iupd
刬	ijjd
喘	irke
喳	iakd
徜	ihik
怊	icxk
怵	iuxu
惙	ivxy
愁	izhx
憧	isxl
抄	icfu
抻	iffu
插	iafj
摏	isfj
撑	igfu
撤	iefw
斶	iuji
杻	izmi
柢	iimd
查	iamd
梴	ijmz
棽	ifmv
椆	izmk
楮	iumo
榇	ifmm
槌	ivmz
樗	iumk
欻	ixhr
氅	ihxm
氚	irqi
池	iidy
浐	ijdi
漦	iiwu
潺	ijdz
炒	ichu
珵	igww
畴	iztc
瞠	igot
砗	ieui
础	iuui
碴	iaud
种	ishv
程	ighw
穿	irby
绌	iusi
绰	icsu
翀	isxv
耖	iclu
舂	isfj
艟	isvl
苌	ihci
茌	iicu
蚩	iivi
蜍	iuih
襜	ijpk
触	iudi
诚	igyi
谄	ijyj
赤	iitd
超	ictk
踔	iozu
蹅	iazd
迟	iizi
醇	iyyz
钗	idji
铖	igji
铲	ijji
锄	iujl
镲	iajx
闯	ilmm
雠	izrf
鸱	iidn
齿	iivk
𥻗	iamd
𬊤	ijhl
𬘭	ifsm
𬬮	ihji
𬭚	iyjz
𬺓	iuvr
𬊤	ijh
𬘭	ifs
唓	iekl
㛃	jpfn
㵐	jtdr
举	juxl
乩	jilv
京	jkwx
今	jbrv
件	jmrn
价	jprl
伋	jirj
假	jxry
僬	jnrh
僭	jmro
兢	jkue
兼	jmbn
冀	jilb
决	jtdg
决	jtdn
减	jmdk
击	jiak
剞	jidd
加	jxlk
劲	jbvl
劲	jkvl
即	jige
卷	jrjv
及	jipn
叫	jnkl
君	jyyk
唧	jike
圾	jitj
坚	jmlt
垍	jitz
埆	jtty
奇	jidk
妗	jbnv
姞	jink
娇	jnnl
嫁	jxnu
嫉	jinu
家	jxbu
寄	jibk
将	jldc
尽	jbid
局	juuk
岊	jpbe
峤	jnel
嵇	jihe
嶲	jrev
己	jivv
巾	jbll
径	jkig
忌	jijx
急	jidx
恔	jnxx
惊	jkxx
惧	juxb
憬	jkxx
戒	jpgc
戟	jiug
戬	jmyg
拒	jufj
捡	jmfa
据	jufk
接	jpfn
敫	jnbw
斠	jnju
既	jigv
机	jimj
极	jimj
枅	jimk
架	jxlm
枷	jxmk
枸	jumk
柬	jman
桀	jpxm
桕	jqmj
检	jmma
椐	jumk
楗	jmmz
槛	jmmm
橘	jumk
殛	jida
泇	jxdk
洁	jpdk
津	jbdy
浕	jbdd
渐	jmdj
滘	jndk
漖	jndw
澽	judu
瀱	jidd
炅	jsoh
炯	jshk
焦	jnrh
煎	jmbh
燋	jnhh
爝	jthc
玑	jiwj
玖	jqwj
玦	jtwg
琎	jbwz
琚	juwk
瑨	jbwo
璥	jkww
璬	jnww
界	jptl
疚	jqbj
皦	jnbw
睛	jkoo
