---config@码表分类=辅码码表
---config@码表别名= 补充简码
按	an
安	a
吧	b
宝	bc
笨	bf
甭	bg
逼	bi
备	bw
此	c
猜	cd
打	d
搭	da
道	dc
冻	ds
逗	dz
旦	dj
嗯	e
发	f
复	fu
凤	fg
疯	fg
份	ff
管	g
搞	gc
钙	gd
哥	ge
官	gr
故	gu
化	h
壶	hu
华	hx
辉	hv
扯	ie
程	ig
臭	iz
初	iu
重	i
厂	ih
见	j
今	jb
极	ji
贱	jm
居	ju
佳	jx
块	k
抠	kz
立	l
溜	lq
骂	ma
嘛	m
梦	mg
美	mw
哪	na
那	n
农	ns
噢	o
朋	pg
期	q
弃	qi
缺	qt
扔	rg
入	r
惹	re
忍	rf
随	s
寺	si
丧	sh
它	t
淘	tc
疼	tg
替	ti
舔	tm
通	ts
退	tv
十	u
省	ug
守	uz
释	ui
着	vo
之	v
招	vc
症	vg
战	vj
终	vs
位	w
文	wf
忘	wh
玩	wj
维	ww
午	wu
性	x
心	xb
型	xk
凶	xs
寻	xy
隐	yb
野	ye
杨	yh
严	yj
友	yz
又	y
衣	yi
子	z
遭	zc
揍	zz
自	zi
坐	zo
