傲然	aorj
安歇	anxp
矮了	aile
隘口	aikz
艾灸	aijq
阿嚏	aati
阿訇	aahs
阿公	aags
阿伯	aabd
北疆	bwjl
备货	bwho
北伐	bwfa
北段	bwdr
布阵	buvf
步态	butd
不俗	busu
布控	buks
步调	budn
博鳌	boao
表姨	bnyi
表婶	bnuj
标间	bnjm
标号	bnhc
冰柱	bkvu
冰凌	bklk
冰晶	bkjk
冰寒	bkhj
兵符	bkfu
兵丁	bkdk
办卡	bjka
笔筒	bits
笔谈	bitj
必考	bikc
壁橱	biiu
闭环	bihr
壁挂	bigx
鼻窦	bidz
绑腿	bhtv
柏油	bdyz
白猫	bdmc
包退	bctv
八两	ball
翠微	cvww
醋味	cuww
残影	cjyk
残雪	cjxt
此列	cilp
此话	cihx
此行	cihh
蹭吃	cgii
蹭车	cgie
菜品	cdpb
菜农	cdns
彩灯	cddg
漕运	ccyy
擦药	cayc
擦鞋	caxp
擦手	cauz
擦脸	calm
擦脚	cajn
钝化	dyhx
堵心	duxb
肚痛	duts
肚兜	dudz
东段	dsdr
端木	drmu
吊索	dnso
电箱	dmxl
垫圈	dmjr
颠沛	dmpw
点开	dmkd
电柜	dmgv
电工	dmgs
点错	dmco
盯死	dksi
顶楼	dklz
顶灯	dkdg
单边	djbm
灯箱	dgxl
等边	dgbm
倒桩	dcvl
捯饬	dcii
到付	dcfu
大仙	daxm
鸟样	dnyh
鸟窝	dnwo
鸟兽	dnuz
鸟枪	dnql
鸟粪	dnff
调仓	dnch
追兵	dvbk
二回	erhv
赴美	fumw
父老	fulc
复查	fuia
伏虎	fuhu
番邦	fjbh
房前	fhqm
防霉	fhmw
放浪	fhlh
防臭	fhiz
方管	fhgr
蜂王	fgwh
分针	ffvf
法兰	falj
发件	fajm
苟安	gzan
挂掉	gxdn
贡品	gspb
公粮	gsll
共处	gsiu
功过	gsgo
宫娥	gsee
工段	gsdr
关东	grds
过站	govj
果糖	goth
果酒	gojq
光秃	gltu
甘休	gjxq
干才	gjcd
隔间	gejm
改选	gdxr
高一	gcyi
高三	gcsj
高冷	gclg
高工	gcgs
高二	gcer
涡轮	goly
后仰	hzyh
候诊	hzvf
后山	hzuj
混搭	hyda
花猪	hxvu
滑腻	hxni
黑猫	hwmc
会审	hvuf
回踩	hvcd
户名	humk
湖景	hujk
哄着	hsvc
红楼	hslz
红椒	hsjn
换组	hrzu
换回	hrhv
货单	hodj
汉唐	hjth
哼哈	hgha
狠话	hfhx
菏泽	heze
海角	hdjn
海景	hdjk
好脏	hczh
好乱	hclr
好假	hcjx
行吗	hhma
臭嘴	izzv
筹拍	izpd
瞅瞅	iziz
初心	iuxb
除开	iukd
初春	iuiy
出格	iuge
冲茶	isia
虫害	ishd
串场	irih
吃些	iiso
吃香	iixl
常德	ihde
唱本	ihbf
撑伞	igsj
撑杆	iggj
承德	igde
趁手	ifuz
尘垢	ifgz
车龄	ielk
撤防	iefh
超卓	icvo
茶社	iaue
叉车	iaie
长草	ihcc
家宴	jxyj
佳酿	jxnl
假寐	jxmw
加急	jxji
家传	jxir
甲等	jxdg
剧作	juzo
居后	juhz
拒付	jufu
矍铄	jtuo
涓涓	jrjr
久闻	jqwf
解绑	jpbh
骄纵	jnzs
交投	jntz
箭镞	jmzu
健硕	jmuo
检票	jmpn
键帽	jmmc
间或	jmho
减分	jmff
见底	jmdi
将至	jlvi
姜蒜	jlsr
匠人	jlrf
讲求	jlqq
降格	jlge
降幅	jlfu
精油	jkyz
经用	jkys
敬重	jkis
竞速	jksu
击杀	jiua
积弱	jiro
荠菜	jicd
进项	jbxl
近看	jbkj
金叉	jbia
金贵	jbgv
金发	jbfa
禁播	jbbo
圈点	jrdm
降龙	jlls
捆扎	kyva
溃散	kvsj
酷炫	kuxr
苦荞	kuqn
控油	ksyz
空港	ksgh
扩增	kozg
狂泻	klxp
矿难	klnj
矿脉	klmd
块垒	kklw
看去	kjqu
砍价	kjjp
看房	kjfh
坑杀	kgua
开走	kdzz
开在	kdzd
开锁	kdso
开年	kdnm
开列	kdlp
开练	kdlm
开卡	kdka
开吃	kdii
开单	kddj
开打	kdda
开错	kdco
开标	kdbn
靠枕	kcvf
楼市	lzui
漏光	lzgl
轮毂	lygu
轮渡	lydu
滤网	lvwh
露台	lutd
卤菜	lucd
陇西	lsxi
留情	lqqk
留点	lqdm
列宁	lpnk
列明	lpmk
裸婚	lohy
连坐	lmzo
恋战	lmvj
连个	lmge
两座	llzo
粮荒	llhl
两栋	llds
良多	lldo
零上	lkuh
领路	lklu
揽活	ljho
利齿	liii
梨花	lihx
愣住	lgvu
愣是	lgui
冷噤	lgjb
楞逼	lgbi
来袭	ldxi
老妹	lcmw
老豆	lcdz
临沂	lbyi
邻县	lbxm
临空	lbks
拉直	lavi
拉丝	lasi
拉杆	lagj
梅雨	mwyu
幕府	mufu
磨破	mopo
磨具	moju
漠北	mobw
名将	mkjl
命长	mkih
命大	mkda
满地	mjde
米线	mixm
迷瞪	midg
忙完	mhwj
忙死	mhsi
门墙	mfql
门框	mfkl
闷棍	mfgy
买账	mdvh
埋汰	mdtd
麦苗	mdmn
卖萌	mdmg
毛肚	mcdu
民乐	mblc
马贼	mazw
马奶	mand
骂名	mamk
无糖	moth
无重	mois
内框	nwkl
内角	nwjn
农用	nsys
农闲	nsxm
农舍	nsue
农奴	nsnu
农贸	nsmc
农垦	nskf
农户	nshu
农耕	nsgg
暖床	nril
扭力	nqli
扭矩	nqju
牛叉	nqia
啮合	npge
诺诺	nono
尿片	nnpm
年尾	nmww
年节	nmjp
宁日	nkri
男神	njuf
南疆	najl
逆子	nizi
霓裳	niih
囔囔	nhnh
嫩滑	nfhx
奶瓶	ndpk
脑梗	ncgg
哪像	naxl
拿铁	natp
纳凉	nall
那届	najp
那般	nabj
偶一	ouyi
区块	oukk
赔笑	pwxn
配饰	pwui
培根	pwgf
普贤	puxm
莆田	putm
颇能	pong
破洞	pods
飘雨	pnyu
票证	pnvg
偏下	pmxx
偏小	pmxn
偏上	pmuh
偏少	pmuc
偏弱	pmro
偏强	pmjl
片场	pmih
偏低	pmdi
偏不	pmbu
平顺	pkuy
攀折	pjue
攀爬	pjpa
盘后	pjhz
皮草	picc
胖瘦	phuz
胖妞	phnq
喷绘	pfhv
牌桌	pdvo
泡茶	pcia
跑调	pcdn
拼单	pbdj
怕累	palw
怕苦	paku
曲直	quvi
屈身	quuf
屈伸	quuf
曲牌	qupd
取货	quho
缺水	qtuv
却能	qtng
泉州	qrvz
全日	qrri
全清	qrqk
全篇	qrpm
全款	qrkr
全看	qrkj
全靠	qrkc
囚牢	qqlc
秋葵	qqkv
切切	qpqp
切莫	qpmo
巧了	qnle
桥段	qndr
前山	qmuj
签批	qmpi
青烟	qkyj
倾销	qkxn
青山	qkuj
清退	qktv
清汤	qkth
青梅	qkmw
清流	qklq
青瓜	qkgx
轻轨	qkgv
情分	qkff
契约	qiyc
七旬	qixy
岂会	qihv
起锅	qigo
汽灯	qidg
肉馅	rzxm
柔性	rzxk
肉排	rzpd
入学	ruxt
入坑	rukg
容让	rsrh
荣光	rsgl
弱碱	rojm
日结	rijp
仍可	rgke
人脉	rfmd
认路	rflu
认了	rfle
忍了	rfle
热饮	reyb
绕圈	rcjr
绥靖	svjk
夙愿	suyr
诉状	suvl
素爱	suai
送往	sswh
送入	ssru
松茸	ssrs
酸爽	srul
蒜瓣	srbj
缩窄	sovd
散席	sjxi
散散	sjsj
散客	sjke
散光	sjgl
三餐	sjcj
三层	sjcg
私情	siqk
私密	simi
撕烂	silj
死叉	siia
丝滑	sihx
厮打	sida
桑葚	shuf
色心	sexb
色衰	secv
腮红	sdhs
扫清	scqk
骚气	scqi
骚包	scbc
土司	tusi
图强	tujl
通配	tspw
同款	tskr
铜矿	tskl
童工	tsgs
贴纸	tpvi
铁青	tpqk
铁皮	tppi
铁管	tpgr
拖走	tozz
拖影	toyk
妥妥	toto
跳伞	tnsj
填列	tmlp
天劫	tmjp
挺严	tkyj
挺闲	tkxm
挺准	tkvy
挺少	tkuc
挺俗	tksu
挺松	tkss
挺色	tkse
挺骚	tksc
挺全	tkqr
听清	tkqk
挺牛	tknq
挺烂	tklj
挺假	tkjx
挺长	tkih
挺差	tkci
挺怪	tkgk
摊销	tjxn
叹词	tjci
体腔	tiql
踢开	tikd
梯度	tido
糖浆	thjl
太脏	tdzh
台柱	tdvu
太瘦	tduz
太轻	tdqk
太矮	tdai
拓印	tayb
踏青	taqk
收窄	uzvd
售楼	uzlz
收罗	uzlo
手粗	uzcu
手残	uzcj
顺子	uyzi
顺滑	uyhx
耍猴	uxhz
水中	uvvs
暑热	uure
熟客	uuke
鼠胆	uudj
涮涮	urur
说点	uodm
双色	ulse
双栖	ulqi
双开	ulkd
双份	ulff
山乡	ujxl
善款	ujkr
施压	uiya
嗜血	uixp
试着	uivc
试水	uiuv
实数	uiuu
屎尿	uinn
师门	uimf
剩女	ugnv
省了	ugle
甚于	ufyu
神龙	ufls
伸长	ufih
社群	ueqy
蛇皮	uepi
折弯	uewj
住下	vuxx
主推	vutv
筑牢	vulc
忠孝	vsxn
中号	vshc
中饭	vsfj
中俄	vsee
颛顼	vrxu
着笔	vcbi
站桩	vjvl
战功	vjgs
战队	vjdv
直营	viyk
致死	visi
智库	viku
直降	vijl
制动	vids
掌纹	vhwf
征信	vgxb
整晚	vgwj
蒸煮	vgvu
正忙	vgmh
整列	vglp
整行	vghh
正方	vgfh
真脏	vfzh
真难	vfnj
真丑	vfiz
针管	vfgr
这项	vexl
褶皱	vevz
这届	vejp
找虐	vcnt
找遍	vcbm
炸窝	vawo
咋不	vabu
威压	wwya
微创	wwil
微薄	wwbc
五年	wunm
卧槽	wocc
窝边	wobm
挽住	wjvu
挽着	wjvc
玩票	wjpn
网文	whwf
外框	wdkl
巡夜	xyye
讯息	xyxi
殉情	xyqk
下锅	xxgo
熊熊	xsxs
胸闷	xsmf
炫酷	xrku
选重	xris
选股	xrgu
写满	xpmj
相思	xlsd
相若	xlro
响铃	xllk
想成	xlig
香瓜	xlgx
香醋	xlcu
刑讯	xkxy
醒脑	xknc
刑拘	xkgz
嘻哈	xiha
西段	xidr
优选	yzxr
优渥	yzwo
由头	yztz
友邻	yzlb
预产	yuij
越小	ytxn
越大	ytda
用回	yshv
远看	yrkj
圆角	yrjn
圆管	yrgr
远比	yrbi
鹰爪	ykvc
盈缺	ykqt
依循	yixy
业障	yevh
要能	ycng
嘴上	zvuh
宗门	zsmf
纵队	zsdv
总店	zsdm
做些	zoso
暂列	zjlp
自修	zixq
早说	zcuo
皂角	zcjn
早会	zchv
早该	zcgd
爱咋咋地	avvd
暗自庆幸	azqx
安享晚年	axwn
安身之所	auvs
凹凸有致	atyv
安然自若	arzr
安然无事	armu
安然入睡	arru
安然入眠	arrm
爱慕虚荣	amxr
挨门逐户	amvh
阿其所好	eqsh
不醉不归	bzbg
不言自明	byzm
别有一番	byyf
鲍鱼之肆	byvs
必有近忧	byjy
不用担心	bydx
宝相庄严	bxvy
笔下生花	bxuh
不懈努力	bxnl
本小利大	bxld
不宣而战	bxev
本相毕露	bxbl
别无他途	bwtt
不忘初心	bwix
不无道理	bwdl
不知死活	bvsh
不斩来使	bvlu
不支持了	bvil
不知高低	bvgd
不知凡几	bvfj
背山面水	bumu
不施粉黛	bufd
不守妇道	bufd
不识大体	budt
百试百灵	bubl
不太赞成	btzi
不太喜欢	btxh
不太习惯	btxg
别太晚了	btwl
不太熟悉	btux
不太适合	btug
不太舒服	btuf
不太认识	btru
不太认同	btrt
不通人情	btrq
不通情理	btql
不太满意	btmy
抱头乱串	btui
不太看好	btkh
不太好看	bthk
不太好吧	bthb
不太高兴	btgx
别太过分	btgf
不太方便	btfb
不太安全	btaq
霸权主义	bqvy
不平则鸣	bpzm
不怕一万	bpym
不明事理	bmul
闭目塞听	bmst
笔墨官司	bmgs
表里一致	blyv
白龙鱼服	blyf
玻璃纤维	blqw
波澜起伏	blqf
摆龙门阵	blmv
不堪造就	bkzj
不可懈怠	bkxd
不可外扬	bkwy
不可知论	bkvl
不可全信	bkqx
不可抗力	bkkl
不可不知	bkbv
八九月份	bjyf
不尽完美	bjwm
不近情理	bjql
不拘泥于	bgny
不讲面子	bjmz
不教而诛	bjev
暴虎冯河	bhfh
白鹤亮翅	beli
悲观主义	bgvy
百舸争流	bgvl
不甘后人	bghr
不管不问	bgbw
变法维新	bfwx
兵分两路	bfll
不复当年	bfdn
不二法则	befz
不得有误	bdyw
不得不服	bdbf
卑鄙无耻	bbmi
步步莲花	bblh
必不可缺	bbkq
包办代替	bbdt
斑斑点点	bbdd
不按常理	bail
寸有所长	cysi
雌雄异体	cxyt
雌雄同体	cxtt
此消彼长	cxbi
财政危机	cvwj
财政税收	cvuu
此生无憾	cumh
藏身之地	cuvd
才疏识浅	cuuq
残汤剩饭	ctuf
从头开始	ctku
寸土寸金	ctcj
沧桑坎坷	cskk
翠绕珠围	crvw
从轻处置	cqiv
层林尽染	cljr
猜来猜去	clcq
蹭吃蹭喝	cich
摧城拔寨	cibv
慈航普度	chpd
挫骨扬灰	cgyh
此地无银	cdmy
草草收尾	ccuw
层层叠叠	ccdd
才不至于	cbvy
草本植物	cbvw
寸步难移	cbny
伺机而动	cjed
大音希声	dyxu
第一桶金	dytj
大雨瓢泼	dypp
第一反应	dyfy
大象无形	dxmx
打小算盘	dxsp
大限将至	dxjv
大雪纷飞	dxff
对外贸易	dwmy
当我没说	dwmu
敌我矛盾	dwmd
对外开放	dwkf
跌无可跌	dmkd
大致说来	dvul
低声细语	duxy
打听打听	dtdt
抖擞精神	dsju
淡若清风	drqf
打入冷宫	drlg
刀枪入库	dqrk
冬去春来	dqil
东跑西颠	dpxd
打马虎眼	dmhy
砥砺前行	dlqh
打了鸡血	dljx
定了定神	dldu
得来不易	dlby
定睛一看	djyk
待机时间	djuj
堆金积玉	djjy
断简残编	djcb
滴酒不沾	djbv
东海扬尘	dhyi
达官显贵	dgxg
顶个屁用	dgpy
倒挂金钟	dgjv
倒挂金钩	dgjg
刀耕火种	dghi
顶风作案	dfza
大方无隅	dfmy
挡风遮雨	dfvy
