---config@码表分类=主码-4
---config@码表别名= 增补字
爱咋咋地	avvd
暗自庆幸	azqx
哎呦喂	ayww
安享晚年	axwn
按下葫芦起来瓢	axhp
安身之所	auvs
爱谁谁	auuv
凹凸有致	atyv
安然自若	arzr
安然无事	armu
安然入睡	arru
安然入眠	arrm
安全性	aqxk
傲然	aorj
安歇	anxp
爱慕虚荣	amxr
挨门逐户	amvh
按常理来说	ailu
按常理	aili
矮了	aile
隘口	aikz
艾灸	aijq
按道理	adli
熬不住	abvu
熬不过	abgo
阿嚏	aati
阿訇	aahs
阿公	aags
阿伯	aabd
阿其所好	ajsh
拗不过	abgo
百足之虫，死而不僵	bzvj
不吱声	bvug
不在其位，不谋其政	bzjv
不早了	bzle
不醉不归	bzbg
不言自明	byzm
别有一番风味	byyw
别有一番	byyf
鲍鱼之肆	byvs
比翼齐飞	byqf
不用了	byle
必有近忧	byjy
不用担心	bydx
不由得	byde
宝相庄严	bxvy
笔下生花	bxuh
屏息凝神	bxnu
不懈努力	bxnl
本小利大	bxld
悲喜剧	bxju
别瞎扯	bxie
八仙过海，各显神通	bxgt
八仙过海，各显其能	bxgn
不宣而战	bxev
不幸而言中	bxev
本相毕露	bxbl
不行吧	bhba
别无他途	bmtt
不外如是	bwru
背弃	bwqi
悲凉	bwll
北疆	bwjl
不忘初心	bwix
备货	bwho
北伐	bwfa
北段	bwdr
不无道理	bmdl
不指望	bvwh
不知死活	bvsh
不追求	bdqq
不斩来使	bvlu
不支持了	bvil
屏住呼吸	bvhx
不知高低	bvgd
不知凡几	bvfj
不是冤家不聚头	buyt
不是鱼死，就是网破	buyp
补休	buxq
补习	buxi
布阵	buvf
步态	butd
不俗	busu
背山面水	bumu
布控	buks
不是吃素的	buid
不施粉黛	bufd
不守妇道	bufd
不舒服	bufu
辨识度	budo
不识大体	budt
步调	budn
布袋	budd
比上不足，比下有余	buby
百试百灵	bubl
不太赞成	btzi
不太喜欢	btxh
不太习惯	btxg
别太晚了	btwl
别太晚	btwj
不太熟悉	btux
不太适合	btug
不太舒服	btuf
半桶水，响叮当	btud
不太认识	btru
不太认同	btrt
不通人情	btrq
不通情理	btql
不听劝	btqr
不太满意	btmy
不听老人言	btly
不听老人言，吃亏在眼前	btlq
并蹄莲	btlm
抱头乱串	btli
不痛快	btkk
不太看好	btkh
不太好看	bthk
不太好吧	bthb
不太高兴	btgx
不太敢	btgj
别太过分	btgf
不太方便	btfb
白天鹅	btee
不停的说	btdu
不太安全	btaq
比死人多口气	bsrq
不如意事常八九	bryj
不如授人以渔	bruy
不然呢	brne
被人卖了还帮着数钱	brmq
不入虎穴，焉得虎子	brhz
不求闻达于诸侯	bqwh
霸权主义	bqvy
病去如抽丝	bqrs
不平则鸣	bpzm
不怕一万，就怕万一	bpyy
不怕一万	bpym
不便宜	bbyi
半瓶水响叮当	bpud
不怕没柴烧	bpmu
不怕不识货	bpbh
波音	boyb
搏击	boji
博彩	bocd
博鳌	boao
表姨	bnyi
白内障	bnvh
表叔	bnuu
表婶	bnuf
别闹了	bnle
标间	bnjm
标号	bnhc
表单	bndj
贬义	bmyi
不满意	bmyi
兵马未动，粮草先行	bmwh
贬值	bmvi
不明事理	bmul
闭目塞听	bmst
便签	bmqm
笔墨官司	bmgs
不良资产	blzi
表里一致	blyv
白龙鱼服	blyf
玻璃纤维	blqw
不理想	blxl
别来这一套	blvt
不虑胜先虑败	blub
不论是	blui
波澜起伏	blqf
摆龙门阵	blmv
贝雷帽	blmc
玻璃杯	blbw
变来变去	blbq
不堪造就	bkzj
不可懈怠	bkxd
不可外扬	bkwy
冰柱	bkvu
不可知论	bkvl
不可替代	bktd
不可全信	bkqx
冰凌	bklk
不可抗力	bkkl
冰晶	bkjk
冰寒	bkhj
兵符	bkfu
不可分割	bkfg
兵丁	bkdk
百看不厌	bkby
不可不知	bkbv
不讲义气	bjyq
八九月份	bjyf
不绝于耳	bjye
百家姓	bjxk
不尽完美	bjwm
不见真佛不烧香	bjvx
半途	bjtu
不近情理	bjql
不拘泥于	bgny
不讲面子	bjmz
办卡	bjka
别具匠心	bjjx
半斤	bjjb
不教而诛	bjev
不记得了	bjdl
搬到	bjdc
半岛	bjdc
不即不离	bjbl
笔记本	bjbf
不吃羊肉惹身臊	biys
辟邪	bixp
笔筒	bits
笔谈	bitj
半成品	bipb
不扯了	bile
必考	bikc
壁橱	biiu
闭环	bihr
壁挂	bigx
鼻窦	bidz
不合适	bgui
绑腿	bhtv
暴虎冯河	bhfh
冰火两重天	bhlt
白鹤亮翅	beli
不敢相信	bgxx
悲观主义	bgvy
百舸争流	bgvl
不够塞牙缝	bgsf
帮个忙	bgmh
不干胶	bgjn
不甘后人	bghr
