日期	速度	击键X10	码长X10
2017/6/26	66.37	45.3	41
2017/6/27	63.63	46	43.4
2017/6/28	82.62	45.1	32.7
2017/6/29	100.29	47.9	28.7
2017/6/30	118.13	51.8	26.3
2017/7/1	68.46	39	34.2
2017/7/2	69.19	49	42.5
2017/7/3	77.14	42.9	33.4
2017/7/4	71.31	31.4	26.4
2017/7/4	100.82	53.1	31.6
2017/7/5	75.79	33	26.1
2017/7/8	54.22	8.8	9.7
2017/7/9	93.05	45.2	29.2
2017/7/10	95.64	30.3	19
2017/7/11	72.68	37.2	30.7
2017/7/12	91.09	41.2	27.1
2017/7/13	87.95	58.6	40
2017/7/14	115.06	49.7	25.9
2017/7/15	88.37	43.3	29.4
2017/7/16	69.29	46.2	40
2017/7/17	80.62	45.3	33.7
2017/7/18	117.85	49.9	25.4
2017/7/19	62.54	40.4	38.7
2017/7/20	32.1	29.4	55
2017/7/22	80.53	43.9	32.7
2017/7/23	102	47.2	27.7
2017/7/24	163.64	63.6	23.3
2017/7/25	78.04	53.8	41.4
2017/7/27	98.41	51.5	31.4
2017/7/29	112.63	54.2	28.8
2017/7/30	69.52	47.7	41.2
2017/7/31	79.5	52.1	39.3
2017/8/1	72.01	51.7	43.1
2017/8/2	87.4	58.2	39.9
2017/8/3	75.4	42.6	33.9
2017/8/4	96.77	48.4	30
2017/8/5	98.52	46.6	28.4
2017/8/6	62.46	36.5	35.1
2017/8/6	85.78	43	30.1
2017/8/7	86.52	46.7	32.4
2017/8/9	105.65	51.3	29.1
2017/8/10	85.72	56.3	39.4
2017/8/11	142.92	61.4	25.8
2017/8/12	86.47	48.9	33.9
2017/8/13	197.37	59.2	18
2017/8/16	140.37	53.5	22.9
2017/8/18	72.56	11.2	9.3
2017/8/19	119.32	56.1	28.2
2017/8/20	84.49	11.3	8
2017/8/21	82.34	12.1	8.8
2017/8/28	101.79	52.7	31.1
2017/8/29	85.26	58.6	41.2
2017/8/30	71.68	10.9	9.1
2017/8/30	170.82	63.5	22.3
2017/8/31	122.21	53.8	26.4
2017/9/1	98.31	58.2	35.5
2017/9/2	130.75	57.6	26.4
2017/9/3	128.59	47.2	22
2017/9/3	162.78	56.3	20.7
2017/9/4	125.58	54.8	26.2
2017/9/7	88.2	57.6	39.2
2017/9/10	79.75	53.5	40.3
2017/9/11	58.4	43.9	45.2
2017/9/11	111.6	57.7	31
2017/9/12	81.58	46.3	34
2017/9/13	177.97	61.7	20.8
2017/9/14	75.87	43.1	34.1
2017/9/15	105.11	53.5	30.5
2017/9/16	96.91	69.6	43.1
2017/9/17	140.42	60.9	26
2017/9/19	113.19	48.8	25.9
2017/9/21	125.95	61.6	29.3
2017/9/22	79.89	50.9	38.2
2017/9/24	155.47	67.7	26.1
2017/9/25	185.4	65.2	21.1
2017/9/25	150.63	69.2	27.6
2017/9/26	152.01	61	24.1
2017/9/27	131.87	55.8	25.4
2017/9/28	102.64	49.2	28.8
2017/9/29	111.72	53.5	28.8
2017/9/30	109.38	15.7	8.6
2017/9/30	141	61.4	26.1
2017/9/30	147.49	64.4	26.2
2017/10/3	97.97	15.3	9.4
2017/10/4	202.5	13.9	4.1
2017/10/5	62.37	12.5	12
2017/10/6	112.12	17.3	9.2
2017/10/7	121.32	51.5	25.5
2017/10/8	94.27	59.7	38
2017/10/9	141.44	76.9	32.6
2017/10/10	166.49	65.5	23.6
2017/10/11	127.39	58.2	27.4
2017/10/12	110.81	53.9	29.2
2017/10/13	170.2	63.8	22.5
2017/10/14	143.55	65.1	27.2
2017/10/17	114.16	111.2	58.4
2017/10/19	130.14	59.3	27.4
2017/10/20	133.08	60.5	27.3
2017/10/22	64.25	97.8	91.3
2017/10/23	108.66	71.2	39.3
2017/10/23	44.76	67.5	90.5
2017/10/24	161.76	65.7	24.4
2017/10/26	40.24	91.6	65
2017/10/29	93.25	68.7	22.5
2017/10/31	87.17	70.5	42.9
2017/11/1	108.97	63.5	23.9
2017/11/5	82.71	59.8	38.4
2017/11/8	94.34	66.3	26.1
2017/11/9	135.76	69.7	30.9
2017/11/10	154.13	74.6	26.7
2017/11/11	107.3	68.4	21.8
2017/11/17	104.56	60.5	29.8
2017/11/18	84.64	60.7	40.4
2017/11/19	182.89	14.8	9.1
2017/11/20	98.57	16.4	7.9
2017/11/24	159.35	66.6	26
2017/12/5	93.56	120.8	61.2
2017/12/7	152.41	69.3	24
2017/12/9	135.48	70.5	23.6
2017/12/10	167.83	74.8	21.8
2017/12/14	187.84	68.5	22.8
2017/12/15	122.02	127.4	56.4
2017/12/15	90.23	141.5	50.4
2017/12/22	97.38	64.7	21.2
2017/12/22	125.65	69	26
2017/12/22	154.06	60.4	23.9
2018/1/3	118.46	66.5	22.6
2018/1/4	173.08	68.1	26.8
2018/1/5	179.19	110.2	60.2
2018/1/6	206.25	54.7	27.1
2018/1/7	180.49	70.6	25.4
2018/1/9	135.58	69.7	22.9
2018/1/10	168.39	67.8	23.6
2018/1/14	183.15	75.2	24.6
